Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,109.47,110.7,109.39,110.25,105.06,15834500.0
2018-01-11,110.67,110.93,110.05,110.84,105.62,13676800.0
2018-01-12,111.65,112.85,110.84,112.67,107.37,18884200.0
2018-01-16,111.51,113.43,111.07,112.27,106.99,22703300.0
2018-01-17,111.89,113.3,111.31,112.99,107.67,14940300.0
2018-01-18,112.76,113.72,112.27,113.26,107.93,14572900.0
2018-01-19,113.94,114.34,112.8,113.01,107.69,18785500.0
2018-01-22,112.66,114.39,112.5,114.33,108.95,12475700.0
2018-01-23,113.67,114.64,113.35,114.21,108.84,12320800.0
2018-01-24,114.86,116.0,114.66,115.67,110.23,15904500.0
2018-01-25,116.04,116.17,115.08,115.7,110.26,13510000.0
2018-01-26,115.7,116.32,114.96,116.32,110.85,13883900.0
2018-01-29,116.02,117.35,116.02,116.2,110.73,11679900.0
2018-01-30,115.53,116.6,114.98,115.11,109.69,14279100.0
2018-01-31,115.65,116.66,115.16,115.67,110.23,13141400.0
2018-02-01,115.77,116.99,115.48,116.87,111.37,13800600.0
2018-02-02,116.49,116.92,114.09,114.28,108.9,16477300.0
2018-02-05,113.0,114.59,103.98,108.8,103.68,30097600.0
2018-02-06,106.85,112.48,106.61,112.11,106.83,33114800.0
2018-02-07,111.55,114.45,111.15,112.87,107.56,21878300.0
2018-02-08,113.11,113.11,107.84,107.88,102.8,27425800.0
2018-02-09,109.1,111.05,106.23,110.04,104.86,28188000.0
2018-02-12,111.17,112.73,110.07,111.74,106.48,18043300.0
2018-02-13,111.32,113.05,110.8,112.43,107.14,16358200.0
2018-02-14,112.63,115.27,112.53,115.03,109.62,15186900.0
2018-02-15,115.74,115.99,114.22,115.51,110.07,12130200.0
2018-02-16,114.55,116.07,114.5,114.68,109.28,13214300.0
2018-02-20,114.65,115.39,113.97,114.71,109.31,13461500.0
2018-02-21,115.0,117.45,114.67,115.19,109.77,14212500.0
2018-02-22,115.5,116.43,114.76,114.98,109.57,17070400.0
2018-02-23,115.31,117.39,115.31,117.31,111.79,12162500.0
2018-02-26,118.14,118.9,117.32,118.77,113.18,16511200.0
2018-02-27,118.91,119.33,117.35,117.36,111.84,17563300.0
2018-02-28,117.82,118.49,115.34,115.5,110.06,17735600.0
2018-03-01,115.48,116.64,112.65,113.43,108.09,18690000.0
2018-03-02,112.39,113.56,111.12,113.32,107.99,18353700.0
2018-03-05,112.05,115.93,111.89,115.06,109.65,13933000.0
2018-03-06,115.64,115.82,114.32,115.16,109.74,10674400.0
2018-03-07,113.75,115.1,113.11,114.73,109.33,13006500.0
2018-03-08,115.11,115.23,113.21,114.74,109.34,11173700.0
2018-03-09,116.55,118.08,115.67,118.04,112.49,15366600.0
2018-03-12,118.0,118.75,117.25,117.66,112.12,12339300.0
2018-03-13,118.2,118.47,115.83,116.25,110.78,13312300.0
2018-03-14,116.56,116.59,114.6,114.95,109.54,12905100.0
2018-03-15,115.87,116.0,114.83,115.24,109.82,8748000.0
2018-03-16,115.34,116.6,115.34,115.44,110.01,19888900.0
2018-03-19,115.1,115.45,113.3,114.53,109.14,13214900.0
2018-03-20,114.87,115.45,114.45,114.64,109.25,9921200.0
2018-03-21,114.81,116.63,114.21,114.74,109.34,13633000.0
2018-03-22,113.2,113.6,109.54,109.95,104.78,22550400.0
2018-03-23,110.27,110.92,106.76,107.01,101.97,23081500.0
2018-03-26,109.19,111.16,108.65,110.31,105.12,20217500.0
2018-03-27,111.07,111.69,107.3,108.17,103.08,18039900.0
2018-03-28,108.28,109.17,106.65,108.0,102.92,19189300.0
2018-03-29,108.5,110.78,107.78,109.97,104.8,13274600.0
2018-04-02,109.96,110.73,106.08,107.85,102.77,18822500.0
2018-04-03,108.36,109.5,107.26,109.33,104.19,14050700.0
2018-04-04,107.1,111.21,107.02,110.99,105.77,15302600.0
2018-04-05,111.63,112.83,111.39,111.88,107.16,16627000.0
2018-04-06,110.55,111.55,107.82,109.09,104.48,18906000.0
2018-04-09,110.01,112.98,109.89,110.4,105.74,15974300.0
2018-04-10,112.13,112.87,111.42,112.51,107.76,13951400.0
2018-04-11,111.66,111.81,110.52,110.62,105.95,14503300.0
2018-04-12,111.56,114.39,111.5,113.37,108.58,16435500.0
2018-04-13,115.02,115.15,109.05,110.3,105.64,39152800.0
2018-04-16,110.94,111.47,109.79,110.21,105.56,16580500.0
2018-04-17,111.37,111.92,109.99,110.21,105.56,15501400.0
2018-04-18,110.53,111.07,108.89,109.32,104.7,16081400.0
2018-04-19,109.53,111.87,109.5,111.72,107.0,17911000.0
2018-04-20,112.3,112.74,110.88,111.47,106.76,15584400.0
2018-04-23,111.57,111.95,110.63,110.93,106.25,11285800.0
2018-04-24,111.75,112.9,109.59,110.41,105.75,16453100.0
2018-04-25,110.27,110.53,108.6,109.99,105.35,13548200.0
2018-04-26,109.97,110.82,109.34,110.1,105.45,10299500.0
2018-04-27,109.55,110.16,109.13,109.4,104.78,9384000.0
2018-04-30,109.75,110.3,108.75,108.78,104.19,13744900.0
2018-05-01,108.45,108.97,107.54,108.78,104.19,10503400.0
2018-05-02,108.11,109.49,107.73,107.92,103.36,12162100.0
2018-05-03,107.59,107.77,105.18,107.24,102.71,15379100.0
2018-05-04,106.43,108.74,105.98,108.43,103.85,11967900.0
2018-05-07,108.76,109.68,108.36,109.37,104.75,9356700.0
2018-05-08,109.53,111.34,109.28,110.99,106.3,12543200.0
2018-05-09,111.44,113.64,111.03,113.41,108.62,11368100.0
2018-05-10,113.19,114.44,112.75,114.29,109.46,9159700.0
2018-05-11,114.49,114.73,113.67,113.86,109.05,10253000.0
2018-05-14,114.11,114.7,113.74,113.9,109.09,8710700.0
2018-05-15,113.91,113.91,112.57,113.03,108.26,11536200.0
2018-05-16,112.89,113.69,112.63,113.34,108.55,7571100.0
2018-05-17,113.2,113.41,112.2,112.96,108.19,8617200.0
2018-05-18,112.75,112.8,110.84,111.13,106.44,11806300.0
2018-05-21,112.05,112.54,111.92,112.15,107.41,9441900.0
2018-05-22,112.35,114.29,112.29,113.01,108.24,11507600.0
2018-05-23,112.51,112.77,111.12,112.49,107.74,11453900.0
2018-05-24,112.14,112.15,110.12,111.23,106.53,14084800.0
2018-05-25,110.46,111.08,110.2,110.66,105.99,8283500.0
2018-05-29,109.18,109.2,104.96,105.93,101.46,30643800.0
2018-05-30,107.64,108.6,106.65,108.35,103.77,17490800.0
2018-05-31,107.95,108.19,106.42,107.01,102.49,19808200.0
2018-06-01,108.34,108.94,107.8,108.4,103.82,13594200.0
2018-06-04,108.99,109.26,108.27,108.45,103.87,9415400.0
2018-06-05,108.24,108.31,107.07,107.84,103.29,10415200.0
2018-06-06,108.66,110.74,108.48,110.36,105.7,15453600.0
2018-06-07,111.18,111.5,110.03,110.8,106.12,13444400.0
2018-06-08,110.62,111.14,110.06,111.11,106.42,10383200.0
2018-06-11,111.12,111.91,110.77,110.83,106.15,12642900.0
2018-06-12,111.14,111.53,109.52,110.19,105.54,15294100.0
2018-06-13,110.46,111.45,109.58,109.97,105.33,14979700.0
2018-06-14,110.28,110.36,107.78,108.03,103.47,20487300.0
2018-06-15,107.8,108.38,106.27,107.9,103.34,26028600.0
2018-06-18,107.26,108.4,106.69,108.18,103.61,9786800.0
2018-06-19,106.9,107.88,106.6,107.55,103.01,12707200.0
2018-06-20,108.18,108.64,107.44,107.54,103.0,8876900.0
2018-06-21,107.1,108.21,106.53,107.51,102.97,11048700.0
2018-06-22,108.16,108.37,105.51,105.75,101.28,19478900.0
2018-06-25,105.66,105.7,103.96,104.79,100.37,16907600.0
2018-06-26,104.71,105.21,103.11,104.86,100.43,17086800.0
2018-06-27,104.68,105.92,103.23,103.24,98.88,16276800.0
2018-06-28,103.68,105.46,103.51,104.93,100.5,14491300.0
2018-06-29,106.68,106.9,104.15,104.2,99.8,18972400.0
2018-07-02,103.72,105.09,103.38,105.08,100.64,11130000.0
2018-07-03,105.41,105.78,103.52,103.61,99.24,8311700.0
2018-07-05,104.13,104.38,103.53,103.72,99.88,10723400.0
2018-07-06,103.12,104.5,102.2,104.06,100.21,12173700.0
2018-07-09,104.71,107.46,104.71,107.28,103.31,13900800.0
2018-07-10,108.02,108.4,106.53,106.62,102.67,14575900.0
2018-07-11,106.31,107.06,106.21,106.39,102.45,10186500.0
2018-07-12,107.42,107.56,105.97,106.85,102.89,12456800.0
2018-07-13,107.3,107.8,105.14,106.36,102.42,21289100.0
2018-07-16,107.05,110.77,106.98,110.58,106.49,24662600.0
2018-07-17,110.69,110.93,109.75,110.5,106.41,14821900.0
2018-07-18,110.42,112.12,110.2,111.53,107.4,14244900.0
2018-07-19,111.06,111.09,109.73,109.89,105.82,16775300.0
2018-07-20,110.0,111.74,109.78,111.28,107.16,13578100.0
2018-07-23,111.06,114.24,110.93,113.35,109.15,18140000.0
2018-07-24,113.55,114.78,113.42,114.15,109.92,14000400.0
2018-07-25,113.88,115.52,113.38,115.18,110.92,13329100.0
2018-07-26,115.42,115.59,114.58,114.85,110.6,11897800.0
2018-07-27,115.18,116.3,114.81,116.03,111.73,12802700.0
2018-07-30,116.28,117.61,116.06,116.73,112.41,13411600.0
2018-07-31,117.08,117.08,114.82,114.95,110.69,15843800.0
2018-08-01,115.75,116.69,115.28,115.66,111.38,13531600.0
2018-08-02,114.57,116.25,114.33,116.15,111.85,11058100.0
2018-08-03,116.0,117.13,115.94,117.09,112.76,11016100.0
2018-08-06,116.79,117.53,116.18,117.12,112.78,9857400.0
2018-08-07,117.74,118.29,117.33,117.55,113.2,10562100.0
2018-08-08,117.33,118.27,117.28,117.79,113.43,8997100.0
2018-08-09,117.51,117.72,116.7,116.88,112.55,9694200.0
2018-08-10,115.5,115.95,114.68,115.73,111.45,12630600.0
2018-08-13,115.56,115.88,113.82,113.89,109.67,10336300.0
2018-08-14,114.27,115.04,113.65,114.65,110.41,10597600.0
2018-08-15,113.82,114.33,112.97,113.7,109.49,10152100.0
2018-08-16,114.35,115.31,114.3,114.77,110.52,10118600.0
2018-08-17,114.64,115.07,114.3,114.77,110.52,8505100.0
2018-08-20,114.59,115.05,114.11,114.62,110.38,8618700.0
2018-08-21,115.37,116.39,114.88,115.32,111.05,10976700.0
2018-08-22,115.31,115.41,114.78,114.97,110.71,8314700.0
2018-08-23,114.96,115.15,114.43,114.73,110.48,9265400.0
2018-08-24,114.98,115.22,114.45,114.68,110.43,8845700.0
2018-08-27,115.22,117.28,115.17,116.71,112.39,13768000.0
2018-08-28,117.0,117.03,115.97,116.14,111.84,8302600.0
2018-08-29,116.35,116.37,115.36,115.76,111.47,7221700.0
2018-08-30,115.59,116.04,114.98,115.19,110.93,8991800.0
2018-08-31,114.83,114.84,113.82,114.58,110.34,13065700.0
2018-09-04,114.34,115.24,113.63,115.15,110.89,10174200.0
2018-09-05,115.0,115.7,114.25,114.59,110.35,11462400.0
2018-09-06,114.5,114.7,113.5,114.1,109.88,9877600.0
2018-09-07,114.5,114.77,113.63,114.32,110.09,10955600.0
2018-09-10,114.85,114.97,113.66,113.71,109.5,8276900.0
2018-09-11,113.54,114.58,113.18,114.43,110.19,9333800.0
2018-09-12,114.25,114.88,112.85,113.08,108.89,10800800.0
2018-09-13,113.37,114.13,112.67,113.52,109.32,12470800.0
2018-09-14,113.81,114.49,113.23,113.5,109.3,10337900.0
2018-09-17,113.79,114.43,113.3,113.84,109.63,9561300.0
2018-09-18,114.33,114.66,113.56,114.3,110.07,7944200.0
2018-09-19,114.44,118.06,114.44,117.62,113.27,16052800.0
2018-09-20,118.5,119.24,118.08,118.63,114.24,15590000.0
2018-09-21,119.13,119.23,117.74,117.85,113.49,24788200.0
2018-09-24,117.76,118.46,116.43,116.72,112.4,12492500.0
2018-09-25,117.04,117.97,116.32,116.39,112.08,9308300.0
2018-09-26,116.75,116.87,114.66,115.02,110.76,14023600.0
2018-09-27,115.42,115.76,114.16,114.52,110.28,13283000.0
2018-09-28,113.65,114.24,112.52,112.84,108.66,15815100.0
2018-10-01,113.37,114.61,113.04,113.5,109.3,10146300.0
2018-10-02,113.36,114.12,112.81,113.97,109.75,13753100.0
2018-10-03,114.94,115.66,114.48,115.04,110.78,17142000.0
2018-10-04,114.55,116.81,114.21,115.27,111.78,16357400.0
2018-10-05,115.83,116.1,114.02,114.62,111.15,13777600.0
2018-10-08,114.25,115.78,113.35,115.32,111.83,14370900.0
2018-10-09,114.67,115.03,113.67,114.52,111.05,14069500.0
2018-10-10,114.7,114.95,111.47,111.47,108.1,23086400.0
2018-10-11,110.97,111.47,107.38,108.13,104.86,33705600.0
2018-10-12,110.37,110.83,105.6,106.95,103.71,32075700.0
2018-10-15,107.2,108.85,106.32,106.34,103.12,18903200.0
2018-10-16,107.16,108.78,106.73,108.62,105.33,19302800.0
2018-10-17,108.38,110.8,108.23,109.83,106.5,18794500.0
2018-10-18,109.02,109.84,107.81,108.09,104.82,17582500.0
2018-10-19,107.65,109.22,107.27,107.91,104.64,15234500.0
2018-10-22,108.15,108.34,106.11,106.36,103.14,16199100.0
2018-10-23,104.2,106.16,103.7,105.25,102.06,21407500.0
2018-10-24,104.76,105.03,102.91,103.29,100.16,23168900.0
2018-10-25,104.18,105.9,103.72,104.86,101.69,17464700.0
2018-10-26,104.0,104.56,102.73,103.42,100.29,19174900.0
2018-10-29,104.46,106.63,103.7,104.85,101.68,18445200.0
2018-10-30,105.71,106.98,104.86,106.7,103.47,18019700.0
2018-10-31,108.08,110.48,107.79,109.02,105.72,20860000.0
2018-11-01,109.62,110.22,108.32,108.98,105.68,13065000.0
2018-11-02,109.9,110.81,107.49,108.38,105.1,19009200.0
2018-11-05,108.61,109.29,108.42,109.09,105.79,10276400.0
2018-11-06,108.67,109.67,107.76,109.6,106.28,10825000.0
2018-11-07,110.37,111.73,109.35,111.48,108.1,12679600.0
2018-11-08,111.01,112.93,111.0,112.38,108.98,11662500.0
2018-11-09,112.23,112.36,110.83,111.29,107.92,10432200.0
2018-11-12,111.42,111.94,108.6,108.95,105.65,13279700.0
2018-11-13,109.1,111.12,109.1,109.59,106.27,13746100.0
2018-11-14,110.23,110.71,105.98,107.33,104.08,18361400.0
2018-11-15,108.24,110.08,106.81,110.07,106.74,19100000.0
2018-11-16,109.45,110.76,108.55,109.99,106.66,13798600.0
2018-11-19,109.96,111.2,109.53,110.83,107.47,13987000.0
2018-11-20,109.78,110.49,107.98,108.45,105.17,18936200.0
2018-11-21,109.03,109.61,107.64,107.64,104.38,10619600.0
2018-11-23,106.74,107.39,106.06,106.65,103.42,6488400.0
2018-11-26,107.72,109.98,107.45,109.26,105.95,13948300.0
2018-11-27,108.76,110.03,108.63,109.72,106.4,9238200.0
2018-11-28,109.8,111.4,108.87,110.94,107.58,13977300.0
2018-11-29,110.27,110.8,109.64,110.06,106.73,11144300.0
2018-11-30,109.85,111.32,109.58,111.19,107.82,18652700.0
2018-12-03,112.38,112.89,111.74,112.24,108.84,16034500.0
2018-12-04,111.6,111.6,106.73,107.23,103.98,23555900.0
2018-12-06,105.01,105.36,102.88,105.19,102.01,27213900.0
2018-12-07,105.16,106.98,102.91,103.29,100.16,19248600.0
2018-12-10,102.87,103.49,99.28,101.36,98.29,23636400.0
2018-12-11,103.13,103.66,100.21,100.37,97.33,16860700.0
2018-12-12,101.66,102.9,100.06,101.02,97.96,22621500.0
2018-12-13,101.55,101.97,100.67,101.12,98.06,17250900.0
2018-12-14,99.99,101.94,99.86,100.29,97.25,19879500.0
2018-12-17,99.77,100.56,98.44,99.01,96.01,25113500.0
2018-12-18,99.42,100.89,98.12,98.54,95.56,20837200.0
2018-12-19,98.41,100.58,96.6,97.29,94.34,28767900.0
2018-12-20,96.61,98.28,95.69,96.45,93.53,31825200.0
2018-12-21,96.68,98.43,93.69,94.17,91.32,41313900.0
2018-12-24,92.89,94.22,92.14,92.14,89.35,17009300.0
2018-12-26,92.69,95.96,91.11,95.96,93.05,22542900.0
2018-12-27,94.82,97.15,93.55,97.04,94.1,20304700.0
2018-12-28,97.95,98.32,96.44,96.83,93.9,17963300.0
2018-12-31,97.59,98.81,96.77,97.62,94.66,13237200.0
2019-01-02,95.95,99.78,95.94,99.31,96.3,15670900.0
2019-01-03,98.64,98.89,96.69,97.11,94.93,16286400.0
2019-01-04,99.11,100.93,98.28,100.69,98.43,16935200.0
2019-01-07,100.43,101.47,99.71,100.76,98.5,15430700.0
2019-01-08,101.63,101.82,99.55,100.57,98.32,13578800.0
2019-01-09,100.81,101.49,99.93,100.4,98.15,14230300.0
2019-01-10,100.02,100.73,99.27,100.39,98.14,14376100.0
2019-01-11,99.89,100.17,98.95,99.91,97.67,15439900.0
2019-01-14,98.87,101.36,98.66,100.94,98.68,21258500.0
2019-01-15,98.89,102.47,98.6,101.68,99.4,26504900.0
2019-01-16,102.25,103.45,101.8,102.5,100.2,18533000.0
2019-01-17,102.11,103.5,101.92,102.92,100.61,14247600.0
2019-01-18,103.77,104.9,102.83,104.59,102.25,16428700.0
2019-01-22,103.08,103.59,102.13,102.94,100.63,17083700.0
2019-01-23,103.44,103.7,101.97,102.68,100.38,12146700.0
2019-01-24,102.13,103.09,101.94,102.74,100.44,11296800.0
2019-01-25,103.51,104.31,102.74,103.39,101.07,14369400.0
2019-01-28,102.89,104.24,102.59,103.88,101.55,12283100.0
2019-01-29,103.88,105.11,103.73,104.17,101.84,9743300.0
2019-01-30,104.14,105.24,103.78,104.41,102.07,12526300.0
2019-01-31,103.41,103.8,102.73,103.5,101.18,17520600.0
2019-02-01,104.0,104.85,103.52,103.88,101.55,13000800.0
2019-02-04,103.79,104.25,103.01,104.25,101.91,9871500.0
2019-02-05,104.52,104.55,103.29,103.79,101.46,12763000.0
2019-02-06,103.71,104.62,103.47,103.74,101.42,8745000.0
2019-02-07,103.25,103.5,101.44,102.38,100.09,13177500.0
2019-02-08,102.08,102.34,100.06,101.36,99.09,12892600.0
