Date,Open,High,Low,Close,Adj Close,Volume
2018-04-18,96.22,96.72,95.52,96.44,94.18,21043300.0
2018-04-19,96.44,97.07,95.34,96.11,93.85,23552500.0
2018-04-20,95.91,96.11,94.05,95.0,92.77,31154400.0
2018-04-23,95.74,96.29,94.63,95.35,93.11,22331800.0
2018-04-24,96.24,96.47,92.41,93.12,90.93,34524800.0
2018-04-25,93.3,93.3,90.28,92.31,90.14,33729300.0
2018-04-26,93.55,95.15,93.1,94.26,92.05,42529000.0
2018-04-27,97.6,97.9,93.91,95.82,93.57,48272800.0
2018-04-30,96.33,96.4,93.15,93.52,91.32,41523600.0
2018-05-01,93.21,95.29,92.79,95.0,92.77,31408900.0
2018-05-02,94.99,95.17,93.19,93.51,91.31,27471000.0
2018-05-03,92.96,94.93,92.45,94.07,91.86,31142500.0
2018-05-04,93.32,95.37,92.92,95.16,92.93,22531300.0
2018-05-07,95.17,96.71,95.1,96.22,93.96,24242000.0
2018-05-08,95.85,96.16,95.06,95.81,93.56,23484600.0
2018-05-09,96.01,96.97,95.05,96.94,94.66,27327400.0
2018-05-10,97.46,97.95,97.05,97.91,95.61,22388100.0
2018-05-11,97.8,97.87,97.04,97.7,95.41,16778300.0
2018-05-14,97.92,98.69,97.31,98.03,95.73,19454100.0
2018-05-15,97.24,97.85,96.34,97.32,95.04,24594000.0
2018-05-16,97.36,97.4,96.62,97.15,95.28,17384700.0
2018-05-17,96.76,97.54,95.83,96.18,94.33,17246700.0
2018-05-18,96.01,96.93,96.01,96.36,94.51,17865800.0
2018-05-21,97.0,98.01,96.8,97.6,95.72,19422500.0
2018-05-22,97.68,98.17,97.2,97.5,95.62,15441200.0
2018-05-23,96.71,98.73,96.32,98.66,96.76,21251200.0
2018-05-24,98.73,98.94,96.81,98.31,96.42,26649300.0
2018-05-25,98.3,98.98,97.86,98.36,96.47,18363900.0
2018-05-29,97.84,98.88,97.23,98.01,96.12,28671000.0
2018-05-30,98.31,99.25,97.91,98.95,97.05,22158500.0
2018-05-31,99.29,99.99,98.61,98.84,96.94,34140900.0
2018-06-01,99.28,100.86,99.17,100.79,98.85,28655600.0
2018-06-04,101.26,101.86,100.85,101.67,99.71,27281600.0
2018-06-05,102.0,102.33,101.53,102.19,100.22,23514400.0
2018-06-06,102.48,102.6,101.9,102.49,100.52,21122900.0
2018-06-07,102.65,102.69,100.38,100.88,98.94,28232200.0
2018-06-08,101.09,101.95,100.54,101.63,99.67,22165100.0
2018-06-11,101.01,101.59,100.67,101.05,99.11,23490900.0
2018-06-12,101.1,101.45,100.75,101.31,99.36,18325200.0
2018-06-13,101.72,102.01,100.56,100.85,98.91,29492900.0
2018-06-14,101.65,102.03,101.0,101.42,99.47,25691800.0
2018-06-15,101.51,101.53,100.07,100.13,98.2,65738600.0
2018-06-18,100.01,101.11,99.42,100.86,98.92,23586000.0
2018-06-19,99.65,101.0,99.5,100.86,98.92,28653100.0
2018-06-20,101.37,102.52,101.12,101.87,99.91,26180800.0
2018-06-21,102.08,102.46,100.88,101.14,99.19,23198200.0
2018-06-22,100.41,100.77,99.63,100.41,98.48,38923100.0
2018-06-25,100.0,100.11,97.3,98.39,96.5,35433300.0
2018-06-26,98.82,100.08,98.75,99.08,97.17,26897200.0
2018-06-27,99.58,100.02,97.4,97.54,95.66,31298400.0
2018-06-28,97.38,99.11,97.26,98.63,96.73,26650700.0
2018-06-29,98.93,99.91,98.33,98.61,96.71,28053200.0
2018-07-02,98.1,100.06,98.0,100.01,98.09,19564500.0
2018-07-03,100.48,100.63,98.94,99.05,97.14,14670300.0
2018-07-05,99.5,99.92,99.03,99.76,97.84,18977400.0
2018-07-06,99.89,101.43,99.67,101.16,99.21,19234600.0
2018-07-09,101.65,102.25,101.25,101.85,99.89,18212000.0
2018-07-10,102.0,102.51,101.86,102.12,100.15,19293100.0
2018-07-11,101.15,102.34,101.1,101.98,100.02,19644600.0
2018-07-12,102.77,104.41,102.73,104.19,102.18,24335900.0
2018-07-13,104.37,105.6,104.09,105.43,103.4,24635200.0
2018-07-16,105.4,105.82,104.52,104.91,102.89,21786900.0
2018-07-17,104.61,106.5,104.32,105.95,103.91,25901700.0
2018-07-18,105.94,106.05,104.72,105.12,103.1,29493900.0
2018-07-19,104.93,105.31,103.89,104.4,102.39,40171600.0
2018-07-20,108.08,108.2,106.08,106.27,104.22,56004000.0
2018-07-23,106.3,108.14,106.13,107.97,105.89,29707000.0
2018-07-24,108.57,108.82,107.26,107.66,105.59,26316600.0
2018-07-25,107.96,111.15,107.6,110.83,108.7,30702100.0
2018-07-26,110.74,111.0,109.5,109.62,107.51,31372100.0
2018-07-27,110.18,110.18,106.14,107.68,105.61,37005300.0
2018-07-30,107.19,107.53,104.76,105.37,103.34,34668300.0
2018-07-31,106.49,106.72,105.38,106.08,104.04,27655200.0
2018-08-01,106.03,106.45,105.42,106.28,104.23,23628700.0
2018-08-02,105.4,108.09,104.84,107.57,105.5,26104300.0
2018-08-03,107.8,108.05,106.82,108.04,105.96,18659600.0
2018-08-06,108.12,108.42,107.56,108.13,106.05,20265900.0
2018-08-07,108.56,109.1,108.17,108.88,106.78,16080200.0
2018-08-08,109.33,109.75,108.76,109.49,107.38,15487500.0
2018-08-09,109.71,110.16,109.6,109.67,107.56,13677200.0
2018-08-10,109.42,109.69,108.38,109.0,106.9,18183700.0
2018-08-13,109.24,109.58,108.1,108.21,106.13,18472500.0
2018-08-14,108.56,109.75,108.04,109.56,107.45,16788300.0
2018-08-15,108.49,108.99,106.82,107.66,105.99,29982800.0
2018-08-16,108.3,108.86,107.3,107.64,105.97,21384300.0
2018-08-17,107.36,107.9,106.69,107.58,105.92,18061500.0
2018-08-20,107.51,107.9,106.48,106.87,105.22,17914200.0
2018-08-21,106.92,107.35,105.85,105.98,104.34,22881900.0
2018-08-22,105.85,107.34,105.78,107.06,105.4,18000600.0
2018-08-23,107.15,108.18,106.87,107.56,105.9,18167700.0
2018-08-24,107.67,108.56,107.56,108.4,106.72,17234000.0
2018-08-27,109.27,109.64,108.51,109.6,107.9,19662300.0
2018-08-28,109.94,110.5,109.79,110.26,108.55,19151500.0
2018-08-29,110.45,112.03,110.27,112.02,110.29,20818000.0
2018-08-30,111.67,112.61,111.44,111.95,110.22,22798700.0
2018-08-31,111.69,112.78,111.52,112.33,110.59,23222700.0
2018-09-04,110.85,111.96,110.22,111.71,109.98,22634600.0
2018-09-05,111.01,111.42,108.1,108.49,106.81,32872400.0
2018-09-06,108.25,108.99,107.51,108.74,107.06,23477600.0
2018-09-07,108.23,108.72,107.23,108.21,106.54,22498600.0
2018-09-10,108.84,109.64,108.36,109.38,107.69,20727900.0
2018-09-11,108.9,111.59,108.89,111.24,109.52,24301800.0
2018-09-12,111.43,111.85,110.51,111.71,109.98,18891100.0
2018-09-13,112.12,113.73,112.12,112.91,111.16,26055600.0
2018-09-14,113.36,113.73,112.44,113.37,111.62,19122300.0
2018-09-17,113.69,113.7,111.86,112.14,110.41,20736500.0
2018-09-18,112.19,113.7,111.72,113.21,111.46,22170900.0
